경상북도 포항시,포항시청,2,,9,,,,,,,,,,
경상북도 상주시,상주시청,2,,1,,,,,,,2020-11-08 15:26,상주시,동쪽 5km,2.9
경기도 수원시,수원시청,1,COVID-19,3,1,,,,6,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,1,,,,,
"경기도 전체,서울특별시 전체,인천광역시 전체",중대본,1,COVID-19,1,1,2020-11-30 0:00,2020-12-04 23:59,JJ라이브카페,0,,,,,
"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",중대본,1,COVID-19,9,1,,,,0,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,10,blog.naver.com/dongjaksaran,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,6,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,3,blog.naver.com/dongjaksaran,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,2,,,,,
"경기도 전체,서울특별시 전체,인천광역시 전체",중대본,1,COVID-19,1,1,2020-11-20 0:00,2020-12-04 23:59,하나이별관,0,,,,,
"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",중대본,1,COVID-19,1,1,2020-11-24 0:00,2020-12-08 23:59,남대문중앙상가(C동),0,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,7,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,13,,,,,
경기도 수원시,수원시청,1,COVID-19,1,1,,,,1,,,,,
서울특별시 동작구,동작구청,1,COVID-19,1,1,,,,2,blog.naver.com/dongjaksaran,,,,
"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",중대본,1,COVID-19,9,1,,,,,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,1,blog.naver.com/dongjaksaran,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,7,blog.naver.com/dongjaksaran,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,8,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,1,blog.naver.com/dongjaksaran,,,,
"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",중대본,1,COVID-19,9,1,,,,,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,8,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,2,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,8,blog.naver.com/dongjaksaran,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,6,blog.naver.com/dongjaksaran,,,,
"경기도 전체,서울특별시 전체,인천광역시 전체",중대본,1,COVID-19,1,1,2020-11-30 14:30,2020-12-01 7:00,,,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,6,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,1,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,6,blog.naver.com/dongjaksaran,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,6,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,1,,,,,
"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",중대본,1,COVID-19,9,1,,,,,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,4,blog.naver.com/dongjaksaran,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,3,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,8,blog.naver.com/dongjaksaran,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,13,,,,,
"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",중대본,1,COVID-19,9,1,,,,,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,5,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,1,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,10,blog.naver.com/dongjaksaran,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,8,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,2,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,6,blog.naver.com/dongjaksaran,,,,
"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",중대본,1,COVID-19,9,1,,,,,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,8,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,1,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,3,blog.naver.com/dongjaksaran,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,1,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,6,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,6,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,16,blog.naver.com/dongjaksaran,,,,
서울특별시 동작구,동작구청,1,COVID-19,9,1,,,,,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,2,blog.naver.com/dongjaksaran,,,,
"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",중대본,1,COVID-19,9,1,,,,,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,7,,,,,
경기도 수원시,수원시청,1,COVID-19,3,1,,,,3,,,,,
서울특별시 동작구,동작구청,1,COVID-19,9,1,,,,,,,,,
"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",중대본,1,COVID-19,9,1,,,,,,,,,
서울특별시 동작구,동작구청,1,COVID-19,3,1,,,,10,blog.naver.com/dongjaksaran,,,,
